Go.	Va !
I hate dogs.	Je déteste les chiens.
I hate dogs.	Je hais les chiens.
I hate fish.	Je déteste le poisson.
I hate golf.	Je déteste le golf.
I hate milk.	Je déteste le lait.
I hate sand.	Je déteste le sable.
I hate sand.	Je hais le sable.
I hate that.	Je déteste ça.
I hate them.	Je les déteste.
I hate this.	Je déteste ça.
I hate work.	Je déteste le travail.
I have cash.	J'ai du liquide.
I have cash.	Je dispose de liquide.
I have eyes.	J'ai des yeux.
I have food.	J'ai de la nourriture.
I have food.	Je dispose de nourriture.
I have time.	J'ai du temps.
I have time.	Je dispose de temps.
I have wine.	J'ai du vin.
I know that.	Je le sais.
I know them.	Je les connais.
I know this.	Je sais ça.
I know this.	Je le sais.
I like blue.	J'aime le bleu.
I like blue.	J'apprécie le bleu.
I like both.	J'aime les deux.
I like both.	Les deux me plaisent.
I like cake.	J'aime les gâteaux.
I like cats.	J'aime les chats.
I like cats.	J’aime les chats.
I like dogs.	J'aime les chiens.
I like jazz.	J'apprécie le jazz.
I like math.	J'aime les maths.
I like milk.	J'aime le lait.
I like rice.	J'aime le riz.
I like rock.	J'aime le rock.
I like that.	J'aime cela.
I like that.	J'apprécie cela.
I like them.	Je les apprécie.
I like this.	Je l'apprécie.
I like this.	J'apprécie ceci.
I live here.	J'habite ici.
I love Mary.	J'aime Mary.
I love kids.	J'adore les enfants.
I love life.	J'adore la vie.
I loved you.	Je t'aimais.
I loved you.	Je t'ai aimé.
I loved you.	Je t'ai aimée.
I messed up.	J'ai merdé.
I messed up.	J'ai foiré.
I messed up.	J'ai dégueulassé.
I messed up.	J'ai sali.
I messed up.	J'ai mis la pagaille.
I messed up.	J'ai mis le souk.
I must obey.	Il me faut obéir.
I must obey.	Je dois obéir.
I nailed it.	C'est dans la poche !
I nailed it.	Je l'ai cloué.
I nailed it.	J'ai mis la main dessus.
I need food.	Il me faut de la nourriture.
I need glue.	J'ai besoin de colle.
I need more.	Il m'en faut davantage.
I need more.	Il m'en faut plus.
I need some.	J'en ai besoin.
I need that.	Il me faut ça.
I need that.	J'en ai besoin.
I need that.	C'est ce qu'il me faut.
I need time.	Il me faut du temps.
I need time.	J'ai besoin de temps.
